32,1
15,3
74,64
91,10
94,25
15,86
94,16
61,52
52,63
71,6
14,6
91,77
12,49
15,20
64,40
88,39
20,18
86,47
17,68
6,57
89,81
15,97
93,61
56,15
74,26
12,23
20,30
83,99
58,91
47,58
45,29
78,54
16,91
23,8
89,36
61,19
87,65
6,7
60,74
42,15
51,18
4,66
74,82
93,62
97,30
97,56
85,44
86,16
19,52
33,55
74,23
35,7
94,40
62,11
90,71
84,70
79,72
48,8
42,70
88,7
19,77
18,4
35,90
44,33
97,93
12,91
7,75
77,88
57,55
63,68
75,44
6,93
10,2
46,8
63,91
13,42
56,29
30,6
27,55
29,80
96,84
21,72
2,12
3,94
98,28
31,25
29,53
87,54
31,43
43,60
17,26
13,79
40,98
80,34
11,26
34,62
17,9
31,15
22,83
97,50
88,72
74,50
66,58
28,65
92,38
57,78
76,84
33,84
75,53
66,61
18,76
58,64
22,87
82,57
54,28
59,57
66,86
71,26
67,35
64,58
89,79
54,36
58,16
13,63
46,82
51,14
19,21
42,34
79,41
2,1
50,70
14,23
65,5
50,48
59,2
4,97
37,59
67,86
5,6
29,55
19,99
65,57
64,66
82,51
25,16
39,40
55,38
10,19
82,9
2,8
44,96
22,36
47,96
23,73
33,68
15,53
38,2
98,69
59,36
16,84
32,97
85,5
84,57
92,48
39,16
96,31
37,69
44,93
43,51
77,35
61,98
41,89
87,13
25,72
49,56
43,80
49,100
23,26
100,23
75,3
62,50
49,25
21,1
71,16
4,16
97,33
57,92
5,73
65,27
74,57
10,21
74,56
50,62
98,14
28,2
51,77
43,95
66,26
27,31
34,6
23,82
17,98
39,19
97,76
93,2
94,50
5,94
6,59
37,42
9,15
54,65
66,10
91,22
87,96
36,31
81,98
54,12
75,87
100,26
26,51
61,27
92,45
79,91
78,82
13,3
87,35
52,24
71,2
17,39
58,23
49,28
25,48
80,49
28,36
57,50
56,23
5,16
55,12
17,30
59,86
100,60
51,5
59,97
78,84
13,43
47,60
65,99
36,3
84,65
43,57
16,59
2,46
89,59
34,61
64,90
87,46
20,65
25,95
69,48
69,79
68,28
40,92
29,42
54,70
14,81
31,69
100,33
28,54
67,71
51,96
42,63
54,33
62,72
14,58
71,99
9,35
11,8
40,89
57,19
79,30
11,7
62,79
78,68
78,74
94,90
58,67
22,53
45,38
47,57
71,39
97,22
91,41
79,83
60,100
82,72
13,31
35,40
37,68
61,39
86,59
53,36
77,54
44,23
62,71
6,35
16,48
94,42
92,1
47,21
72,68
85,1
44,98
48,45
75,76
60,32
58,28
63,18
4,91
75,29
28,67
28,6
3,72
35,67
32,80
8,25
95,78
29,13
98,86
35,44
76,78
27,65
13,95
61,32
18,7
71,59
99,42
71,79
83,4
60,45
40,56
1,6
78,70
92,54
37,12
47,88
56,2
32,38
92,20
43,68
9,95
27,37
11,83
5,90
46,30
33,46
37,25
67,46
57,63
85,63
53,96
6,70
83,58
85,87
23,6
39,36
5,53
22,24
46,6
76,47
79,90
5,52
3,77
9,100
16,57
69,13
47,46
64,23
62,22
47,69
98,17
29,75
20,71
61,48
43,84
6,45
46,41
85,34
94,81
87,95
100,57
22,46
45,6
45,71
26,41
33,38
82,52
78,11
20,14
61,7
22,12
100,53
71,76
66,83
34,19
85,3
80,18
89,22
77,36
50,16
32,43
58,37
11,84
38,25
16,79
89,14
52,84
21,76
77,92
57,23
50,17
30,95
3,70
20,80
2,66
24,36
6,69
45,10
80,46
96,32
9,13
90,59
24,96
83,89
9,33
22,47
94,66
18,22
15,61
31,29
47,5
46,94
21,77
6,86
38,54
25,47
19,62
75,97
6,28
11,19
93,66
43,22
66,1
80,11
87,26
63,97
3,79
15,67
96,21
87,80
51,72
50,61
50,57
67,57
70,100
38,94
39,4
14,48
41,4
89,33
84,83
10,74
78,88
1,78
36,90
14,62
4,57
77,34
28,37
85,74
79,33
33,37
45,85
9,21
87,49
45,16
99,65
43,32
21,11
32,66
66,18
20,76
13,67
36,59
64,4
40,6
30,97
27,40
