1,2,3,5,4,8,9,1,6,5,3,1,10,8,4,4,10,7,8,5,2,10,5,7,9,3,4,10,6,8,2,2,6,1,9,9,3,3,4,9,2,2,8,8,1,2,4,8,9,2,7,6,9,8,3,9,1,8,7,8,7,9,10,3,8,6,10,1,4,7,1,9,8,10,10,3,5,10,1,8,4,5,4,2,2,4,3,3,5,1,3,2,6,7,5,8,1,6,2,9,3,6,8,8,5,5,4,6,2,10,9,3,1,4,7,1,7,1,6,10,8,9,10,3,8,7,4,7,6,9,2,7,1,8,10,1,7,4,2,5,10,4,4,6,10,6,9,1,2,7,2,6,7,5,9,7,4,3,9,3,9,5,6,3,10,6,1,10,6,1,10,4,10,8,6,3,1,9,3,8,7,4,8,1,9,5,7,1,10,6,10,5,10,7,10,8,9,4,6,7
2,3,4,6,5,9,10,2,7,6,4,2,11,9,5,5,11,8,9,6,3,11,6,8,10,4,5,11,7,9,3,3,7,2,10,10,4,4,5,10,3,3,9,9,2,3,5,9,10,3,8,7,10,9,4,10,2,9,8,9,8,10,11,4,9,7,11,2,5,8,2,10,9,11,11,4,6,11,2,9,5,6,5,3,3,5,4,4,6,2,4,3,7,8,6,9,2,7,3,10,4,7,9,9,6,6,5,7,3,11,10,4,2,5,8,2,8,2,7,11,9,10,11,4,9,8,5,8,7,10,3,8,2,9,11,2,8,5,3,6,11,5,5,7,11,7,10,2,3,8,3,7,8,6,10,8,5,4,10,4,10,6,7,4,11,7,2,11,7,2,11,5,11,9,7,4,2,10,4,9,8,5,9,2,10,6,8,2,11,7,11,6,11,8,11,9,10,5,7,8
2,3,4,6,5,2,6,4,2,5,5,6,3,6,4,5,3,3,2,4,4,5,3,3,2,3,5,3,4,2,4,2,5,2,4,6,2,5,6,5,3,3,5,4,4,6,2,4,3,6,2,3,4,6,6,5,3,4,2,5,2,2,4,5,3,2,2,5,3,6,5,5,2,3,3,6,5,4,4,6,4,2,2,5,4,2,4,5,2,6,2,6,5
6,5,6,5,5,6,6,5,5,5,5,6,5,6,5,5,6,6,6,6,5,5,5,5,6,5,5,6,5,6,5,5,6,6,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
-160
