64
21,23,26,29,31,32,31,29,25,22,18,13,11,11,11,11,12,16,20,23,23,23,21,20,19,18,18,20,23,28,32,35,36,35,32,28,23,20,18,17,16,17,19,20,21,22,21,18,15,12,11,11,12,15,18,22,26,30,34,36,36,33,30,25
23,25,28,30,32,32,31,28,24,21,17,12,11,11,11,11,11,15,18,21,22,22,21,21,20,20,20,22,25,30,34,36,37,36,33,29,25,22,19,18,19,19,21,22,24,24,23,20,17,14,12,12,12,15,17,21,25,29,33,34,34,32,29,24
24,26,28,30,31,31,29,26,22,18,15,11,11,11,11,11,11,14,17,20,22,22,23,23,23,23,24,26,28,32,35,37,37,36,33,30,26,23,22,21,21,21,22,24,25,25,24,22,19,16,14,13,14,15,18,21,25,29,32,34,34,31,28,23
24,25,27,29,30,29,27,24,20,16,13,11,11,11,11,11,11,13,17,20,22,24,25,25,26,26,27,29,31,34,36,37,37,35,33,30,27,25,24,23,23,23,23,24,25,25,25,23,21,18,16,15,16,17,19,22,26,29,32,34,33,31,27,22
22,24,26,27,27,27,25,21,18,14,11,11,11,11,11,11,11,13,17,20,23,25,27,28,29,29,30,31,33,34,35,35,34,33,31,29,27,26,25,25,24,24,23,24,24,24,24,23,22,20,18,18,18,19,21,23,27,30,33,34,33,30,26,21
21,22,24,25,26,25,23,20,17,14,11,11,11,11,11,11,11,14,18,21,24,27,29,30,31,31,32,32,33,33,33,32,31,29,28,27,26,27,26,26,25,24,23,22,22,23,23,23,22,21,20,20,20,21,22,24,28,31,33,34,33,30,26,21
19,21,23,24,24,24,22,20,17,14,11,11,11,11,11,11,11,15,19,22,26,29,31,32,32,32,31,31,32,31,30,28,26,25,24,24,25,26,27,26,25,24,22,21,21,21,22,23,23,22,22,22,21,22,23,25,28,31,33,34,33,30,26,22
18,20,22,23,24,24,22,20,18,15,13,11,11,11,11,11,12,16,20,23,27,30,31,32,32,31,30,29,29,27,25,23,21,20,20,21,23,25,26,26,25,23,21,20,19,19,21,22,23,23,23,23,22,22,23,25,28,31,33,34,33,31,27,23
19,20,22,24,25,25,24,22,20,18,16,13,11,11,11,11,13,17,21,24,27,30,31,32,31,29,27,26,25,23,21,18,17,16,17,18,21,24,25,25,24,23,21,19,18,19,21,23,24,24,23,23,22,22,22,24,27,30,33,34,34,31,28,24
21,22,24,26,27,27,27,25,23,21,19,16,13,11,11,11,13,17,20,24,27,29,30,30,28,26,24,22,21,19,17,14,13,13,14,16,19,23,24,25,24,22,21,19,19,19,22,24,24,24,23,22,21,20,20,22,25,28,31,33,33,32,29,25
23,25,27,29,30,30,29,28,26,24,21,18,14,12,11,11,13,16,19,23,26,27,28,27,25,23,20,18,17,15,13,12,11,11,12,15,18,21,23,24,23,23,22,21,21,22,24,26,26,25,24,22,20,18,17,19,22,26,29,32,33,32,30,26
24,26,27,29,30,31,30,29,27,25,22,19,15,12,11,11,12,15,19,22,25,26,26,24,22,19,15,13,13,12,11,11,11,11,11,13,16,19,20,22,22,22,23,23,24,26,28,29,29,27,24,21,18,16,14,15,18,22,26,30,32,32,31,28
24,25,27,28,30,30,30,29,27,25,23,19,15,12,11,11,12,15,19,22,24,25,24,22,18,15,12,11,11,11,11,11,11,11,11,12,14,16,18,19,20,22,23,25,27,29,31,32,31,29,26,22,18,14,12,12,14,19,23,27,30,32,32,30
22,23,25,27,28,29,29,28,27,25,22,18,14,11,11,11,12,16,19,22,24,24,22,20,16,12,11,11,11,11,11,11,11,11,11,12,13,14,15,17,19,21,23,26,29,31,33,34,33,31,27,23,18,14,11,11,12,16,20,25,29,31,32,32
21,21,23,25,26,27,28,27,26,24,21,17,13,11,11,11,12,16,20,23,24,24,22,19,15,11,11,11,11,11,11,11,11,12,12,13,13,13,14,15,17,19,22,26,29,32,34,35,34,32,28,24,19,15,11,11,11,14,18,23,27,30,32,32
19,19,21,22,24,25,26,25,24,22,19,15,11,11,11,11,12,16,20,23,24,24,22,19,16,12,11,11,11,11,13,15,16,16,15,15,14,13,13,14,15,18,21,24,28,31,33,34,33,32,29,26,21,17,13,11,11,14,17,21,25,28,30,31
18,18,19,21,23,24,25,24,23,21,18,14,11,11,11,11,12,16,21,24,25,25,23,20,17,14,12,12,13,16,18,20,21,21,20,18,16,14,13,13,14,16,19,22,26,29,30,31,32,31,30,27,24,20,16,14,13,14,16,20,23,26,28,29
19,18,19,21,22,23,24,24,23,20,17,13,11,11,11,11,12,16,21,24,25,25,24,22,20,17,16,16,18,20,23,25,26,26,24,22,19,17,15,14,14,15,17,19,22,25,26,28,29,30,30,29,26,23,20,17,16,16,17,19,21,24,25,26
20,20,21,22,23,24,25,25,23,21,18,13,11,11,11,11,12,16,20,23,25,26,25,24,22,20,19,20,22,25,27,30,30,30,28,25,22,19,17,15,14,14,15,17,19,21,22,24,27,29,30,30,28,26,23,20,18,17,17,18,20,21,23,23
24,23,24,25,26,27,27,26,25,23,20,15,11,11,11,11,12,16,20,23,25,26,25,25,23,22,22,22,24,27,30,32,32,32,30,27,24,21,19,16,15,14,14,15,16,18,19,21,24,26,28,29,29,27,25,22,20,19,18,18,19,19,20,20
29,28,28,28,28,29,28,28,26,24,22,18,14,12,11,12,14,17,20,23,25,25,26,25,24,23,23,23,25,27,30,31,32,31,29,27,24,22,19,17,15,13,13,13,13,14,15,17,20,23,25,27,28,28,26,24,22,20,19,18,17,17,16,16
33,32,31,30,30,29,29,28,27,25,23,21,18,16,15,15,17,19,21,23,24,25,25,25,25,24,24,24,25,26,28,29,29,29,27,25,23,21,19,17,15,13,12,12,12,12,12,13,16,18,21,24,26,27,27,26,24,22,20,18,16,15,13,12
