-10,-12,-10,-6,-14,-12,-12,-20,-8,-16,-2,-16,-20,-8,-12,-6,-4,-2,-20,-8,-6,-12,-20,-16,-14,-20,-14,-14,-10,-12,-8,-16,-6,-16,-8,-16,-18,-14,-18,-16,-2,-20,-12,-4,-2,-14,-10,-6,-16,-2,-8,-4,-20,-20,-18,-10,-16,-12,-10,-2,-20,-14,-12,-8,-18,-10,-20,-14,-16,-18,-20,-10,-4,-16,-14,-4,-20,-10,-16,-14,-4,-10,-8,-16,-4,-20,-14,-16,-18,-20,-14,-6,-14,-10,-2,-14,-10,-20,-10,-2,-6,-6,-10,-10,-2,-6,-14,-16,-14,-14,-4,-8,-4,-16,-6,-10,-20,-2,-4,-8,-14,-18,-6,-6,-4,-12,-16,-18,-16,-8,-16,-18,-16,-2,-4,-4,-6,-8,-8,-8,-14,-14,-20,-16,-6,-10,-2,-2,-20,-8,-8,-6,-2,-8,-4,-14,-16,-4,-12,-6,-10,-20,-18,-4,-8,-16,-12,-10,-16,-4,-20,-18,-14,-20,-12,-6,-2,-14,-14,-8,-8,-4,-2,-10,-8,-6,-4,-6,-14,-8,-8,-10,-16,-2,-10,-2,-10,-10,-2,-14
-10,-10,-6,-8,-2,-8,-6,-4,-2,-8,-6,-10,-8,-6,-8,-2,-4,-2,-10,-6,-2,-8,-4,-10,-10,-2,-8,-10,-10,-4,-4,-10,-4,-10,-8,-4,-6,-10,-2,-10,-10,-2,-6,-6,-10,-10,-2,-6,-4,-8,-4,-6,-10,-2,-4,-8,-6,-6,-4,-8,-2,-4,-4,-6,-8,-8,-8,-6,-10,-2,-2,-8,-8,-6,-2,-8,-4,-4,-6,-10,-4,-8,-10,-4,-6,-2,-8,-8,-4,-2,-10,-8,-6,-4,-6,-8,-8,-10,-2,-10,-2,-10,-10,-2
20,20,12,16,4,16,12,8,4,16,12,20,16,12,16,4,8,4,20,12,4,16,8,20,20,4,16,20,20,8,8,20,8,20,16,8,12,20,4,20,20,4,12,12,20,20,4,12,8,16,8,12,20,4,8,16,12,12,8,16,4,8,8,12,16,16,16,12,20,4,4,16,16,12,4,16,8,8,12,20,8,16,20,8,12,4,16,16,8,4,20,16,12,8,12,16,16,20,4,20,4,20,20,4
-40,-40,-24,-32,-8,-32,-24,-16,-8,-32,-24,-40,-32,-24,-32,-8,-16,-8,-40,-24,-8,-32,-16,-40,-40,-8,-32,-40,-40,-16,-16,-40,-16,-40,-32,-16,-24,-40,-8,-40,-40,-8,-24,-24,-40,-40,-8,-24,-16,-32,-16,-24,-40,-8,-16,-32,-24,-24,-16,-32,-8,-16,-16,-24,-32,-32,-32,-24,-40,-8,-8,-32,-32,-24,-8,-32,-16,-16,-24,-40,-16,-32,-40,-16,-24,-8,-32,-32,-16,-8,-40,-32,-24,-16,-24,-32,-32,-40,-8,-40,-8,-40,-40,-8
-40,-40,-24,-32,-32,-24,-32,-24,-40,-32,-24,-32,-40,-24,-32,-40,-40,-32,-40,-40,-40,-40,-32,-24,-40,-40,-40,-24,-24,-40,-40,-24,-32,-24,-40,-32,-24,-24,-32,-24,-32,-32,-32,-24,-40,-32,-32,-24,-32,-24,-40,-32,-40,-24,-32,-32,-40,-32,-24,-24,-32,-32,-40,-40,-40,-40
-39,-39,-23,-31,-31,-23,-31,-23,-39,-31,-23,-31,-39,-23,-31,-39,-39,-31,-39,-39,-39,-39,-31,-23,-39,-39,-39,-23,-23,-39,-39,-23,-31,-23,-39,-31,-23,-23,-31,-23,-31,-31,-31,-23,-39,-31,-31,-23,-31,-23,-39,-31,-39,-23,-31,-31,-39,-31,-23,-23,-31,-31,-39,-39,-39,-39
-39,-39,-23,-31,-31,-23,-31,-23,-39,-31,-23,-31,-39,-23,-31,-39,-39,-31,-39,-39,-39,-39,-31,-23,-39,-39,-39,-23,-23,-39,-39,-23,-31,-23,-39,-31,-23,-23,-31,-23,-31,-31,-31,-23,-39,-31,-31,-23,-31,-23,-39,-31,-39,-23,-31,-31,-39,-31,-23,-23,-31,-31,-39,-39,-39,-39
-23,-31,-31,-23,-31,-23,-31,-23,-31,-23,-31,-31,-31,-23,-23,-23,-23,-31,-23,-31,-23,-23,-31,-23,-31,-31,-31,-23,-31,-31,-23,-31,-23,-31,-23,-31,-31,-31,-23,-23,-31,-31
-21,-29,-29,-21,-29,-21,-29,-21,-29,-21,-29,-29,-29,-21,-21,-21,-21,-29,-21,-29,-21,-21,-29,-21,-29,-29,-29,-21,-29,-29,-21,-29,-21,-29,-21,-29,-29,-29,-21,-21,-29,-29
-23,-31,-31,-23,-31,-23,-31,-23,-31,-23,-31,-31,-31,-23,-23,-23,-23,-31,-23,-31,-23,-23,-31,-23,-31,-31,-31,-23,-31,-31,-23,-31,-23,-31,-23,-31,-31,-31,-23,-23,-31,-31
-21,-29,-29,-21,-29,-21,-29,-21,-29,-21,-29,-29,-29,-21,-21,-21,-21,-29,-21,-29,-21,-21,-29,-21,-29,-29,-29,-21,-29,-29,-21,-29,-21,-29,-21,-29,-29,-29,-21,-21,-29,-29
-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58
-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56
-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55
-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55
-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55
-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56
-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55
-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54
-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54
-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108
-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108,-108
-2484
